"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Guadeloupe,140130,0,854,0,2250,0,137026,19,350108,2134,938039,2343644,400248,North America,3,469,0,0.0,0.0,342353.0
Cambodia,136228,12,3056,0,132945,24,227,0,7949,178,2946965,171950,17138485,Asia,126,5608,6,0.7,0.0,13.0
Rwanda,129767,0,1458,0,45522,0,82787,0,9588,108,5233320,386676,13534118,Africa,104,9283,3,0.0,0.0,6117.0
Jamaica,129632,70,2948,0,83068,62,43616,0,43434,988,987440,330845,2984604,North America,23,1012,3,23.0,0.0,14614.0
Cameroon,119780,0,1927,0,117791,0,62,13,4317,69,1751774,63142,27743456,Africa,232,14397,16,0.0,0.0,2.0
Angola,99194,0,1900,0,97149,0,145,0,2857,55,1499795,43198,34718761,Africa,350,18273,23,0.0,0.0,4.0
Malta,90773,178,692,4,85151,505,4930,4,204593,1560,1874109,4224058,443675,Europe,5,641,0,401.0,9.0,11112.0
DRC,87023,0,1337,0,50930,0,34756,0,921,14,846704,8960,94495223,Africa,1086,70677,112,0.0,0.0,368.0
Senegal,85989,1,1967,0,84006,2,16,0,4901,112,1065534,60736,17543574,Africa,204,8919,16,0.06,0.0,0.9
Malawi,85747,0,2633,0,81938,0,1176,67,4282,131,571585,28542,20025820,Africa,234,7606,35,0.0,0.0,59.0
Ivory Coast,81898,11,799,0,81073,12,26,0,2971,29,1496066,54280,27562125,Africa,337,34496,18,0.4,0.0,0.9
French Guiana,80422,0,394,0,11254,0,68774,1,257176,1260,622646,1991116,312712,South America,4,794,1,0.0,0.0,219928.0
Suriname,79302,0,1327,0,49396,0,28579,0,133021,2226,235824,395570,596163,South America,8,449,3,0.0,0.0,47938.0
